Batch,Batch_Size,Train_Loss,Test_Loss,Train_Valid_Dim_Loss,Train_Feature_Loss,Test_Valid_Dim_Loss,Test_Feature_Loss
180100,32,0.013740847818553448,,0.009567797183990479,0.004173050634562969,,
180200,32,0.011486576870083809,,0.006641731131821871,0.004844845272600651,,
180300,32,0.01522616483271122,,0.011877639219164848,0.003348525147885084,,
180400,32,0.017436865717172623,,0.01343117468059063,0.004005691036581993,,
180500,32,0.010204194113612175,,0.006640918552875519,0.0035632760263979435,,
180600,32,0.012400796636939049,,0.010085640475153923,0.0023151561617851257,,
180700,32,0.01578601449728012,,0.0121521707624197,0.0036338428035378456,,
180800,32,0.01397591270506382,,0.009190772660076618,0.004785139579325914,,
180900,32,0.029487503692507744,,0.01269930973649025,0.016788193956017494,,
181000,32,0.015997808426618576,,0.012598587200045586,0.0033992205280810595,,
181100,32,0.018778858706355095,,0.012646048329770565,0.00613281037658453,,
181200,32,0.0200461708009243,,0.014660067856311798,0.005386103875935078,,
181300,32,0.008676079101860523,,0.006846293341368437,0.00182978599332273,,
181400,32,0.010051373392343521,,0.006174069829285145,0.003877303097397089,,
181500,32,0.00978142861276865,,0.007129472680389881,0.0026519561652094126,,
181600,32,0.015384652651846409,,0.010092908516526222,0.005291744135320187,,
181700,32,0.01900363154709339,,0.012451328337192535,0.006552303209900856,,
181800,32,0.017608365043997765,,0.012713609263300896,0.004894755780696869,,
181900,32,0.011315708048641682,,0.008265381678938866,0.003050326369702816,,
182000,32,0.015485110692679882,,0.009264074265956879,0.006221036426723003,,
182100,32,0.011685490608215332,,0.007861354388296604,0.003824136219918728,,
182200,32,0.01554890163242817,,0.011018520221114159,0.004530380945652723,,
182300,32,0.013138975016772747,,0.005200921557843685,0.007938053458929062,,
182400,32,0.017099402844905853,,0.011470843106508255,0.005628559738397598,,
182500,32,0.018688417971134186,0.01532439300790429,0.013245953246951103,0.005442465655505657,0.011208698386326432,0.004115694458596409
182600,32,0.01669933646917343,,0.012538617476820946,0.004160718992352486,,
182700,32,0.018444014713168144,,0.013081391341984272,0.005362623371183872,,
182800,32,0.017985563725233078,,0.012163978070020676,0.00582158612087369,,
182900,32,0.02118399553000927,,0.012063983827829361,0.009120011702179909,,
183000,32,0.013467395678162575,,0.009468737058341503,0.003998658154159784,,
183100,32,0.020897090435028076,,0.014208534732460976,0.006688554771244526,,
183200,32,0.022969959303736687,,0.014253707602620125,0.008716251701116562,,
183300,32,0.012153171002864838,,0.008670218288898468,0.003482953179627657,,
183400,32,0.011957533657550812,,0.007072764914482832,0.004884769208729267,,
183500,32,0.010785994119942188,,0.008969368413090706,0.0018166254740208387,,
183600,32,0.01519856508821249,,0.01108259242027998,0.00411597266793251,,
183700,32,0.01817585900425911,,0.011837033554911613,0.006338824518024921,,
183800,32,0.017966801300644875,,0.011227045208215714,0.006739756092429161,,
183900,32,0.019232332706451416,,0.012632490135729313,0.006599842570722103,,
184000,32,0.0068972609005868435,,0.004471373278647661,0.0024258876219391823,,
184100,32,0.009442304261028767,,0.006257355213165283,0.003184949280694127,,
184200,32,0.00898442231118679,,0.005274885334074497,0.0037095369771122932,,
184300,32,0.013654958456754684,,0.009952512569725513,0.003702445887029171,,
184400,32,0.01652098447084427,,0.01241330150514841,0.004107682965695858,,
184500,32,0.009486204013228416,,0.005936322268098593,0.003549882210791111,,
184600,32,0.014690774492919445,,0.00791037455201149,0.006780399940907955,,
184700,32,0.015464689582586288,,0.011134054511785507,0.0043306355364620686,,
184800,32,0.01789310947060585,,0.011906935833394527,0.005986174568533897,,
184900,32,0.01373760960996151,,0.008683236315846443,0.005054373759776354,,
185000,32,0.017866022884845734,0.013811375387012959,0.013394394889473915,0.004471627064049244,0.009871578263118862,0.0039397969376295805
185100,32,0.010370306670665741,,0.006612950935959816,0.0037573559675365686,,
185200,32,0.010144551284611225,,0.006610977929085493,0.0035335735883563757,,
