Batch,Batch_Size,Train_Loss,Test_Loss,Train_Valid_Dim_Loss,Train_Feature_Loss,Test_Valid_Dim_Loss,Test_Feature_Loss
100,32,1.1872447729110718,,0.8954136371612549,0.2918311059474945,,
200,32,0.027855748310685158,,0.021918287500739098,0.00593746080994606,,
300,32,0.12411491572856903,,0.08319173008203506,0.040923185646533966,,
400,32,0.02905235067009926,,0.021029561758041382,0.008022788912057877,,
500,32,0.031270842999219894,,0.021962003782391548,0.009308840148150921,,
600,32,0.016252126544713974,,0.012289225123822689,0.00396290048956871,,
700,32,0.015065930783748627,,0.007182745262980461,0.007883185520768166,,
800,32,0.019145527854561806,,0.014941348694264889,0.004204179625958204,,
900,32,0.01995221897959709,,0.013707155361771584,0.0062450626865029335,,
1000,32,0.0197227094322443,,0.01530139148235321,0.004421318415552378,,
1100,32,0.018507400527596474,,0.012362675741314888,0.006144724320620298,,
1200,32,0.05707074701786041,,0.03903469443321228,0.01803605444729328,,
1300,32,0.02322886697947979,,0.012549787759780884,0.010679079219698906,,
1400,32,0.020535321906208992,,0.01484430767595768,0.005691014230251312,,
1500,32,0.01715044304728508,,0.010425671935081482,0.006724770180881023,,
1600,32,0.010674310848116875,,0.005836015567183495,0.00483829528093338,,
1700,32,0.031709685921669006,,0.01854824274778366,0.013161445036530495,,
1800,32,0.01800948567688465,,0.013018358498811722,0.004991127178072929,,
1900,32,0.023236233741044998,,0.014624234288930893,0.00861199852079153,,
2000,32,0.07737076282501221,,0.04988899081945419,0.027481775730848312,,
2100,32,0.014073912054300308,,0.00938434712588787,0.004689565394073725,,
2200,32,0.02128705009818077,,0.01674313098192215,0.004543918184936047,,
2300,32,0.023830197751522064,,0.01859980821609497,0.005230388604104519,,
2400,32,0.009256153367459774,,0.007417347282171249,0.0018388060852885246,,
2500,32,0.012371653690934181,0.01686618188396096,0.009858852252364159,0.00251280190423131,0.010980087937787176,0.005886093806475401
2600,32,0.026484813541173935,,0.010856148786842823,0.015628665685653687,,
2700,32,0.018336566165089607,,0.013888074085116386,0.004448492079973221,,
2800,32,0.014421435073018074,,0.009130433201789856,0.005291001871228218,,
2900,32,0.017283553257584572,,0.011431746184825897,0.005851807072758675,,
3000,32,0.015500320121645927,,0.012111756950616837,0.003388563171029091,,
3100,32,2.4060134887695312,,1.9706472158432007,0.4353661835193634,,
3200,32,1.0767805576324463,,0.9009698033332825,0.1758107841014862,,
3300,32,0.2566462457180023,,0.21061836183071136,0.04602787271142006,,
3400,32,0.1387636363506317,,0.11518877744674683,0.023574866354465485,,
3500,32,0.019974153488874435,,0.013807417824864388,0.006166735664010048,,
3600,32,1.310581922531128,,0.19321855902671814,1.1173633337020874,,
3700,32,0.028562836349010468,,0.01701752096414566,0.011545314453542233,,
3800,32,0.009816313162446022,,0.006869789678603411,0.0029465239495038986,,
3900,32,0.02397982031106949,,0.017845377326011658,0.006134442053735256,,
4000,32,0.06512551754713058,,0.05469364672899246,0.010431872680783272,,
4100,32,0.012664254754781723,,0.00992113072425127,0.0027431235648691654,,
4200,32,0.022952217608690262,,0.016071857884526253,0.006880360655486584,,
4300,32,0.020089250057935715,,0.013283457607030869,0.0068057929165661335,,
4400,32,0.026007726788520813,,0.019066011533141136,0.0069417161867022514,,
4500,32,0.021894119679927826,,0.015795376151800156,0.00609874352812767,,
4600,32,0.017653968185186386,,0.011839878745377064,0.005814088508486748,,
4700,32,0.011830426752567291,,0.009631874039769173,0.0021985527127981186,,
4800,32,0.02118941769003868,,0.015118376351892948,0.006071040406823158,,
4900,32,0.012834509834647179,,0.009721096605062485,0.0031134127639234066,,
5000,32,0.013710565865039825,0.01902863001450896,0.009185941889882088,0.004524623975157738,0.012198202405124902,0.006830427888780832
5100,32,0.024225343018770218,,0.016726279631257057,0.007499062921851873,,
5200,32,0.023652298375964165,,0.017356298863887787,0.006295999512076378,,
5300,32,0.016882292926311493,,0.011005120351910591,0.005877171643078327,,
5400,32,0.017053192481398582,,0.012188741937279701,0.0048644510097801685,,
5500,32,0.0186407919973135,,0.013714211992919445,0.004926579538732767,,
5600,32,0.013555210083723068,,0.009523415006697178,0.004031794611364603,,
5700,32,0.015832994133234024,,0.011537427082657814,0.004295567981898785,,
5800,32,0.014304501004517078,,0.01013148482888937,0.0041730161756277084,,
5900,32,0.015368971042335033,,0.008023465052247047,0.007345505990087986,,
6000,32,0.013119394890964031,,0.00900790560990572,0.0041114892810583115,,
6100,32,0.015239780768752098,,0.012372255325317383,0.002867524977773428,,
6200,32,0.015541144646704197,,0.00978880189359188,0.005752342753112316,,
6300,32,0.010454602539539337,,0.006357704289257526,0.004096898250281811,,
6400,32,0.018724462017416954,,0.01328117772936821,0.005443283822387457,,
