Batch,Batch_Size,Train_Loss,Test_Loss,lr,grad_norm,Train_Valid_Dim_Loss,Train_Feature_Loss,Test_Valid_Dim_Loss,Test_Feature_Loss
1000,32,0.09549663960933685,,0.0002,0.9999996423721313,0.037236057221889496,0.05826057866215706,,
2000,32,0.028946707025170326,,0.0002,0.19235487282276154,0.014252327382564545,0.014694379642605782,,
3000,32,0.04034150764346123,,0.0002,0.3876844048500061,0.018507741391658783,0.021833766251802444,,
4000,32,0.06500314176082611,,0.0002,0.9999998211860657,0.01727014221251011,0.04773300141096115,,
5000,32,0.03896491974592209,0.04201649760827422,0.0002,0.5516260862350464,0.014740739949047565,0.02422417886555195,0.014491984518244863,0.02752451312728226
6000,32,0.03130093216896057,,0.0002,0.31570741534233093,0.014749369584023952,0.016551561653614044,,
7000,32,0.028756065294146538,,0.0002,0.22386088967323303,0.013710182160139084,0.015045883134007454,,
8000,32,0.031595662236213684,,0.0002,0.5525466203689575,0.012465134263038635,0.01913052797317505,,
9000,32,0.06509866565465927,,0.0002,0.9999998211860657,0.017103200778365135,0.04799546301364899,,
10000,32,0.03759923204779625,0.02920682791620493,0.0002,0.9999997019767761,0.011741152964532375,0.02585808001458645,0.011454341150820255,0.01775248662568629
11000,32,0.026992540806531906,,0.0002,0.3041268587112427,0.012069822289049625,0.014922717586159706,,
12000,32,0.02439235895872116,,0.0002,0.2590315043926239,0.01066209189593792,0.013730267994105816,,
13000,32,0.050275299698114395,,0.0002,0.9999998211860657,0.017751988023519516,0.03252331167459488,,
14000,32,0.01925499737262726,,0.0002,0.12855187058448792,0.009620835073292255,0.009634161368012428,,
15000,32,0.02172127738595009,0.02881164803169668,0.0002,0.09786278009414673,0.010614925995469093,0.01110635045915842,0.011357854739762842,0.017453793310560285
16000,32,0.024587973952293396,,0.0002,0.17795585095882416,0.010931811295449734,0.013656162656843662,,
17000,32,0.029245004057884216,,0.0002,0.6700535416603088,0.009907908737659454,0.019337095320224762,,
18000,32,0.024996619671583176,,0.0002,0.35022225975990295,0.010142013430595398,0.014854606240987778,,
19000,32,0.03226517140865326,,0.0002,0.9999994039535522,0.010847566649317741,0.02141760289669037,,
20000,32,0.0766671746969223,0.024888396970927717,0.0002,0.9999999403953552,0.020569227635860443,0.05609795078635216,0.010162622760981321,0.014725774209946394
21000,32,0.027484025806188583,,0.0002,0.19939425587654114,0.011869668960571289,0.015614356845617294,,
22000,32,0.023481260985136032,,0.0002,0.6089506149291992,0.009113329462707043,0.01436793152242899,,
23000,32,0.020191006362438202,,0.0002,0.06869219988584518,0.00925828330218792,0.010932722128927708,,
24000,32,0.02381015755236149,,0.0002,0.3970450758934021,0.010103384032845497,0.013706773519515991,,
25000,32,0.02380991354584694,0.02620621530339122,0.0002,0.19498687982559204,0.010723430663347244,0.01308648195117712,0.010365599188953639,0.015840616058558226
26000,32,0.016333777457475662,,0.0002,0.16731005907058716,0.00759496632963419,0.008738810196518898,,
27000,32,0.01799704134464264,,0.0002,0.29656410217285156,0.007739763706922531,0.010257277637720108,,
28000,32,0.017759133130311966,,0.0002,0.2225545048713684,0.007812561467289925,0.009946572594344616,,
29000,32,0.021577659994363785,,0.0002,0.13902457058429718,0.009624017402529716,0.011953642591834068,,
30000,32,0.018013514578342438,0.024247450223192572,0.0002,0.1356269270181656,0.008920022286474705,0.009093491360545158,0.009899149811826647,0.01434830030426383
31000,32,0.019776009023189545,,0.0002,0.062233783304691315,0.008401906117796898,0.011374102905392647,,
32000,32,0.03747246786952019,,0.0002,0.9999998211860657,0.014520110562443733,0.022952357307076454,,
