log_like,reference_params,comparison_params,dataset_size
-216.64946854579506,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 0, 'lambda_points_line_2d': 0, 'lambda_clutter': 250}",1000
-14.823188243774705,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 5, 'lambda_points_line_2d': 40, 'lambda_clutter': 50}",1000
-10.761167249159392,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 13, 'lambda_points_line_2d': 16, 'lambda_clutter': 42}",1000
-9.697627135660923,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 8, 'lambda_points_line_2d': 25, 'lambda_clutter': 50}",1000
-9.871681656119861,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",1000
-32.38969409325517,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 20, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",1000
-15.35888507195347,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 5, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",1000
-18.865734699263296,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 40, 'lambda_clutter': 20}",1000
-30.501631272484715,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 5, 'lambda_points_line_2d': 5, 'lambda_clutter': 70}",1000
-11.55942314428286,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 15, 'lambda_points_line_2d': 25, 'lambda_clutter': 30}",1000
-10.861767255107603,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 5, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",1000
-11.428555465236242,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 8, 'lambda_points_line_2d': 23, 'lambda_clutter': 60}",1000
-11.04899643284051,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 13, 'lambda_points_line_2d': 25, 'lambda_clutter': 50}",1000
-49.58389890486916,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 80}",1000
-51.859052551133544,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 40, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",1000
-11.496668049103215,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 8, 'lambda_points_line_2d': 22, 'lambda_clutter': 60}",1000
-30.185030483726507,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 0}",1000
-216.28062576462898,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 0, 'lambda_points_line_2d': 0, 'lambda_clutter': 250}",1000
-14.772446933107453,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 5, 'lambda_points_line_2d': 40, 'lambda_clutter': 50}",1000
-10.719355593511928,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 13, 'lambda_points_line_2d': 16, 'lambda_clutter': 42}",1000
-9.842368620257725,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 8, 'lambda_points_line_2d': 25, 'lambda_clutter': 50}",1000
-9.942818092694672,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",1000
-31.715704302283193,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 20, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",1000
-15.356812177563995,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 5, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",1000
-18.887859052847425,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 40, 'lambda_clutter': 20}",1000
-30.44575734365695,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 5, 'lambda_points_line_2d': 5, 'lambda_clutter': 70}",1000
-11.680944439017328,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 15, 'lambda_points_line_2d': 25, 'lambda_clutter': 30}",1000
