Batch,Batch_Size,Train_Loss,Test_Loss,lr,grad_norm,Train_Valid_Dim_Loss,Train_Feature_Loss,Test_Valid_Dim_Loss,Test_Feature_Loss
100,32,0.06591521203517914,,0.0002,0.9999997615814209,0.027110610157251358,0.03880459815263748,,
200,32,0.03090711496770382,,0.0002,0.29946231842041016,0.0165749229490757,0.01433219201862812,,
300,32,0.032117098569869995,,0.0002,0.9120951890945435,0.01657974347472191,0.015537355095148087,,
400,32,0.05382847785949707,,0.0002,0.9999998211860657,0.018939988687634468,0.03488849103450775,,
500,32,0.10604700446128845,,0.0002,1.0,0.03404121845960617,0.07200578600168228,,
600,32,0.04153936356306076,,0.0002,0.9999992847442627,0.018508216366171837,0.023031147196888924,,
700,32,0.026709675788879395,,0.0002,0.9471198916435242,0.010963060893118382,0.015746615827083588,,
800,32,0.025049004703760147,,0.0002,0.9999994039535522,0.008731134235858917,0.01631787046790123,,
900,32,0.022272437810897827,,0.0002,0.9999994039535522,0.009435723535716534,0.012836715206503868,,
1000,32,0.04394189268350601,,0.0002,0.9999998211860657,0.013232667930424213,0.030709225684404373,,
1100,32,0.013747304677963257,,0.0002,0.41534051299095154,0.006984421983361244,0.006762882694602013,,
1200,32,0.056732356548309326,,0.0002,0.9999999403953552,0.027079936116933823,0.029652420431375504,,
1300,32,0.05670643225312233,,0.0002,0.9999999403953552,0.02030731365084648,0.03639911860227585,,
1400,32,0.019736304879188538,,0.0002,0.5912595987319946,0.008084062486886978,0.01165224239230156,,
1500,32,0.024140717461705208,,0.0002,0.9999992847442627,0.00944250263273716,0.014698214828968048,,
1600,32,0.017076056450605392,,0.0002,0.0957132950425148,0.008959678001701832,0.008116377517580986,,
1700,32,0.023086203262209892,,0.0002,0.9999995231628418,0.008858440443873405,0.014227762818336487,,
1800,32,0.02320498786866665,,0.0002,0.5248358249664307,0.010731790214776993,0.012473197653889656,,
1900,32,0.01792880892753601,,0.0002,0.5225067734718323,0.007896991446614265,0.010031817480921745,,
2000,32,0.018879851326346397,,0.0002,0.42754143476486206,0.007218724582344294,0.011661127209663391,,
2100,32,0.01844661496579647,,0.0002,0.5024756193161011,0.007245790213346481,0.01120082475244999,,
2200,32,0.016675058752298355,,0.0002,0.45425811409950256,0.008216103538870811,0.008458954282104969,,
2300,32,0.013822589069604874,,0.0002,0.13949210941791534,0.007702996022999287,0.006119593046605587,,
2400,32,0.01565345749258995,,0.0002,0.43609362840652466,0.00755135715007782,0.00810210034251213,,
2500,32,0.01577923074364662,,0.0002,0.309356689453125,0.008339903317391872,0.007439327891916037,,
2600,32,0.015269041061401367,,0.0002,0.5227627158164978,0.007258500903844833,0.008010540157556534,,
2700,32,0.014048786833882332,,0.0002,0.5805025696754456,0.0065450360998511314,0.0075037507340312,,
2800,32,0.01468600332736969,,0.0002,0.40707337856292725,0.007100536022335291,0.007585467770695686,,
