frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
223976.12,280000,32,16384,512,4096
225568.58,280000,32,16384,512,8192
225696.53,280000,32,16384,512,16384
225890.06,280000,32,16384,512,32768
226164.17,280000,32,16384,512,65536
97773.86,320000,32,16384,256,512
100335.55,320000,32,16384,256,1024
101407.3,320000,32,16384,256,2048
101957.29,320000,32,16384,256,4096
102306.44,320000,32,16384,256,8192
102118.09,320000,32,16384,256,16384
102328.75,320000,32,16384,256,32768
102231.33,320000,32,16384,256,65536
228865.31,320000,32,16384,512,1024
230822.28,320000,32,16384,512,2048
232078.44,320000,32,16384,512,4096
232434.72,320000,32,16384,512,8192
232225.77,320000,32,16384,512,16384
232628.89,320000,32,16384,512,32768
232379.22,320000,32,16384,512,65536
96689.97,400000,32,16384,256,512
99186.81,400000,32,16384,256,1024
100031.45,400000,32,16384,256,2048
100845.45,400000,32,16384,256,4096
101109.27,400000,32,16384,256,8192
101363.91,400000,32,16384,256,16384
101386.59,400000,32,16384,256,32768
101411.5,400000,32,16384,256,65536
226737.3,400000,32,16384,512,1024
227645.06,400000,32,16384,512,2048
229460.4,400000,32,16384,512,4096
229732.86,400000,32,16384,512,8192
230550.78,400000,32,16384,512,16384
230595.34,400000,32,16384,512,32768
230725.86,400000,32,16384,512,65536
